record_type,form_id_number,eain_id,election_authority_id_number,state_issued
E,9702609,28681,70076,FL
E,9702621,28682,00085127,TX
E,9702634,28687,1432574,CA
E,9702641,28688,870009,CA
E,9702642,28689,00082282,TX
E,9702644,28690,890112,CA
E,9702645,28691,1747178,CA
E,9702653,28692,1288619,CA
E,9702655,28693,1385906,CA
E,9702656,28694,1288619,CA
E,9702658,28696,1401340,CA
E,9702673,28700,1331609,CA
E,9702674,28701,1291122,CA
E,9702675,28702,941250,CA
E,9702677,28703,21543,OR
E,9702695,28704,1438744,CA
E,9702697,28705,78940,FL
E,9702698,28706,840819,CA
E,9702701,28707,1422454,CA
E,9702703,28708,1424081,CA
E,9702704,28709,1405934,CA
E,9702707,28710,870166,CA
E,9702709,28711,971956,CA
E,9702722,28713,960772,CA
E,9702724,28714,1270707,CA
E,9702727,28715,831498,CA
E,9702740,28717,c00782135,FD
E,9702745,28718,79497,FL
E,9702746,28719,1258616,CA
E,9702748,28720,79523,FL
